Id,Type,Title,Year,LengthMinutes,MediaGenres
tt0035423,movie,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance"
tt0062336,movie,El tango del viudo y su espejo deformante,2020,70,Drama
tt0069049,movie,The Other Side of the Wind,2018,122,Drama
tt0077684,movie,Histórias de Combóios em Portugal,2022,46,Documentary
tt0082328,movie,Encarnação do Demônio,2008,94,Horror
tt0088751,movie,The Naked Monster,2005,100,"Comedy,Horror,Sci-Fi"
tt0093119,movie,Grizzly II: The Predator,2020,74,"Horror,Music,Thriller"
tt0096056,movie,Crime and Punishment,2002,126,Drama
tt0097304,movie,Everything's for You,2009,58,Documentary
tt0100275,movie,La Telenovela Errante,2017,80,"Comedy,Drama,Fantasy"
tt0104988,movie,Neues in Wittstock,2021,100,Documentary
tt0108116,movie,Shepherd on the Rock,2014,90,Drama
tt0108549,movie,West from North Goes South,2004,96,"Comedy,Mystery"
tt0109173,movie,Auf allen Meeren,2002,95,Documentary
tt0110476,movie,Master i Margarita,2006,125,"Drama,Fantasy"
tt0111414,movie,A Thin Life,2018,75,Comedy
tt0112912,movie,Dune 7,2002,97,Adventure
tt0113506,movie,Justifiable Homicide,2002,85,Documentary
tt0114447,movie,The Silent Force,2001,90,Action
tt0114722,movie,3 noches,2001,105,"Crime,Thriller"
tt0115686,movie,Biriken,2008,100,"Comedy,Fantasy"
tt0116991,movie,Mariette in Ecstasy,2019,101,Drama
tt0117163,movie,Neon Signs,2002,86,Drama
tt0117743,movie,Still Waters Burn,2008,83,"Drama,Romance"
tt0117825,movie,Talaashi,2003,157,"Crime,Drama"
tt0118141,movie,What Is It?,2005,72,Drama
tt0118154,movie,White Hotel,2001,90,"Biography,Documentary"
tt0118578,movie,Albela,2001,145,"Comedy,Drama,Romance"
tt0118589,movie,Glitter,2001,104,"Drama,Music,Romance"
tt0118652,movie,The Attic Expeditions,2001,100,"Comedy,Horror,Mystery"
tt0118656,movie,Meurtrières,2006,98,"Crime,Drama"
tt0118926,movie,The Dancer Upstairs,2002,132,"Crime,Drama,Thriller"
tt0119004,movie,Don's Plum,2001,89,"Comedy,Drama"
tt0119231,movie,The Junior Defenders,2007,82,Comedy
tt0119727,movie,A Mulher Polícia,2003,90,Drama
tt0119970,movie,Quality Time,2008,82,"Comedy,Drama,Sci-Fi"
tt0119980,movie,Random Shooting in L.A.,2002,91,Drama
tt0120166,movie,The Sorcerer's Apprentice,2001,86,"Adventure,Family,Fantasy"
tt0120589,movie,Predestinado,2022,108,"Biography,Drama"
tt0120607,movie,Between the Sheets,2003,102,Comedy
tt0120624,movie,Camarate,2001,100,"Drama,History"
tt0120667,movie,Fantastic Four,2005,106,"Action,Adventure,Fantasy"
tt0120679,movie,Frida,2002,123,"Biography,Drama,Romance"
tt0120681,movie,From Hell,2001,122,"Crime,Horror,Mystery"
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure,Drama,Fantasy"
tt0120804,movie,Resident Evil,2002,100,"Action,Horror,Sci-Fi"
tt0120807,movie,Ricochet River,2001,112,Drama
tt0120824,movie,The Shipping News,2001,111,Drama
tt0120870,movie,Trance,2002,86,"Action,Comedy,Horror"
tt0120912,movie,Men in Black II,2002,88,"Action,Adventure,Comedy"
tt0121164,movie,Corpse Bride,2005,77,"Animation,Comedy,Drama"
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,2002,142,"Action,Adventure,Fantasy"
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,2005,140,"Action,Adventure,Fantasy"
tt0122247,movie,Serial Killing 4 Dummys,2004,89,"Comedy,Horror,Mystery"
tt0123581,movie,Burning Down the House,2001,84,Comedy
tt0124889,movie,Sticks,2001,92,"Comedy,Crime"
tt0125022,movie,Heartbreakers,2001,123,"Comedy,Crime,Romance"
tt0126029,movie,Shrek,2001,90,"Adventure,Animation,Comedy"
tt0126899,movie,Eyes Are Upon You,2001,92,"Crime,Thriller"
tt0128154,movie,Daybreak,2002,87,"Crime,Mystery,Thriller"
tt0128165,movie,Blazin',2001,100,"Action,Crime"
tt0128216,movie,Flophouse,2002,75,Comedy
tt0128997,movie,Olhar o Cinema Português: 1896-2006,2007,55,"Biography,Documentary"
tt0130436,movie,Il quinto giorno,2007,95,Action
tt0131356,movie,Deseret,2014,82,Documentary
tt0131370,movie,"Elektra, avagy bevezetés a kapitalizmus politikai gazdaságtanába",2003,83,Documentary
tt0131597,movie,Split,2004,700,"Action,Crime,Sci-Fi"
tt0132078,movie,Dead by Monday,2001,94,Comedy
tt0132245,movie,Driven,2001,116,"Action,Drama,Sport"
tt0133063,movie,Lightmaker,2001,89,Fantasy
tt0133152,movie,Planet of the Apes,2001,120,"Action,Adventure,Sci-Fi"
tt0133240,movie,Treasure Planet,2002,95,"Adventure,Animation,Family"
tt0135991,movie,Dominator,2003,100,"Animation,Comedy,Sci-Fi"
tt0136517,movie,Seven Days of Grace,2006,88,"Comedy,Drama"
tt0137204,movie,Joe Finds Grace,2017,83,"Adventure,Animation,Comedy"
tt0137268,movie,Welcome Says the Angel,2003,82,Drama
tt0138524,movie,Intolerable Cruelty,2003,100,"Comedy,Crime,Romance"
tt0138856,movie,Tales from the Tower,2001,45,Drama
tt0139297,movie,Gwen's Tit Torment,2002,58,Adult
tt0139514,movie,Outros Bairros,2001,90,Documentary
tt0139613,movie,O Silêncio,2012,70,"Documentary,History"
tt0139654,movie,Training Day,2001,122,"Crime,Drama,Thriller"
tt0140420,movie,"Nosotros, la música",2004,66,Documentary
tt0140806,movie,American Reel,2003,100,"Drama,Music"
tt0141120,movie,The Ghost,2001,86,"Action,Thriller"
tt0141907,movie,Town & Country,2001,104,"Comedy,Romance"
tt0142634,movie,Nobody Knows Anything!,2003,88,Comedy
tt0143558,movie,Apaföld,2009,85,Drama
tt0143861,movie,Scratch,2001,92,"Documentary,Music"
tt0144280,movie,Whispers from a Shallow Grave,2006,90,"Crime,Fantasy,Mystery"
tt0144449,movie,Nema aviona za Zagreb,2012,82,Biography
tt0145467,movie,Silent Partner,2001,84,"Comedy,Drama"
tt0145487,movie,Spider-Man,2002,121,"Action,Adventure,Sci-Fi"
tt0145882,movie,Egy legenda nyomában - A Petöfi-expedíció,2002,60,Documentary
tt0145937,movie,Naqoyqatsi,2002,89,"Documentary,Music"
tt0146063,movie,The Princess and the Pea,2002,75,"Adventure,Animation,Family"
tt0146272,movie,Shooting Vegetarians,2005,76,"Comedy,Drama"
tt0146316,movie,Lara Croft: Tomb Raider,2001,100,"Action,Adventure,Fantasy"
tt0146592,movie,Pál Adrienn,2010,136,Drama
tt0146803,movie,"Goodnight, Joseph Parker",2004,81,Drama
tt0148403,movie,"Life, Love & Celluloid",2005,90,Documentary
tt0148415,movie,Little Shop of Erotica,2001,87,Fantasy
tt0149253,movie,Texas 46,2002,96,"Drama,History,War"
tt0150021,movie,Camouflage,2001,98,"Action,Comedy"
tt0151299,movie,Last Fair Deal,2002,101,Action
tt0151685,movie,My Father's Love,2001,110,Drama
tt0152083,movie,L'amore probabilmente,2001,107,Drama
tt0152772,movie,Swing Set,2002,73,Adult
tt0153140,movie,Rózsaszín sajt,2009,93,"Comedy,Drama"
tt0153516,movie,Venus Delights,2003,52,Adult
tt0153517,movie,Jackpot,2005,57,"Adult,Crime,Mystery"
tt0153533,movie,Victoria's Shadow,2001,80,Horror
tt0154039,movie,Oda az igazság,2010,100,"Drama,History"
tt0154187,movie,The Bacchae,2002,90,Drama
tt0156100,movie,St. Andrew's Girls,2003,76,"Comedy,Horror"
tt0156263,movie,The Adventures of Space Baby and Mental Man,2004,90,Drama
tt0156376,movie,Book of Love: The Definitive Reason Why Men Are Dogs,2002,91,"Comedy,Romance"
tt0157007,movie,After Image,2001,92,"Drama,Thriller"
tt0157191,movie,One Last Dance,2003,101,"Drama,Romance"
tt0157472,movie,Clockstoppers,2002,94,"Action,Adventure,Comedy"
tt0157583,movie,Enigma,2001,119,"Drama,Mystery,Romance"
tt0159273,movie,Behind Enemy Lines,2001,106,"Action,Drama,Thriller"
tt0159290,movie,Bluebird,2004,77,"Drama,Music"
tt0159365,movie,Cold Mountain,2003,154,"Adventure,Drama,Romance"
tt0159369,movie,Cooper and Hemingway: The True Gen,2013,120,Documentary
tt0159378,movie,The Demo Crew,2001,108,"Action,Drama,Sport"
tt0159503,movie,Kalotaszeg nagyasszonya,2001,210,Documentary
tt0160184,movie,D-Tox,2002,96,"Crime,Thriller"
tt0160239,movie,Duty Dating,2002,94,"Comedy,Romance"
tt0160240,movie,Easter,2002,90,"Comedy,Drama"
tt0160261,movie,False River,2005,90,Thriller
tt0160270,movie,Fat Chance,2001,90,Comedy
tt0160275,movie,Final Solution,2001,102,"Action,Drama"
tt0160399,movie,Impostor,2001,95,"Drama,Mystery,Sci-Fi"
tt0160480,movie,Long Lost Love,2001,93,"Comedy,Drama,Romance"
tt0160706,movie,The Prodigy,2005,120,"Crime,Drama,Thriller"
tt0160870,movie,Silent Screamplay,2003,120,Thriller
tt0160904,tvSeries,Spooks,2002,60,"Action,Crime,Drama"
tt0160905,movie,Spooky House,2001,106,"Comedy,Family"
tt0161083,movie,What's the Worst That Could Happen?,2001,94,"Comedy,Crime"
tt0161088,movie,White Boy,2002,90,Drama
tt0161860,movie,Nirgendwo in Afrika,2001,141,"Biography,Drama,History"
tt0162030,movie,Unseen Evil,2001,93,"Horror,Sci-Fi,Thriller"
tt0162203,movie,Blue Shark Hash,2001,93,"Comedy,Romance"
tt0162346,movie,Ghost World,2001,111,"Comedy,Drama"
tt0162838,movie,Three Days of Rain,2002,98,Drama
tt0162862,movie,"António, Um Rapaz de Lisboa",2002,116,Drama
tt0162942,movie,A zöld sárkány gyermekei,2010,89,Drama
tt0163025,movie,Jurassic Park III,2001,92,"Action,Adventure,Sci-Fi"
tt0163246,movie,Skippy,2001,90,"Comedy,Family,Romance"
tt0163596,movie,Dark Water,2001,92,"Crime,Drama,Mystery"
tt0163764,movie,Net Worth,2001,94,"Action,Adventure,Comedy"
tt0164003,movie,City of Ghosts,2002,116,"Crime,Drama,Thriller"
tt0164184,movie,The Sum of All Fears,2002,124,"Action,Drama,Thriller"
tt0164334,movie,Along Came a Spider,2001,104,"Crime,Drama,Mystery"
tt0164810,movie,Pipe Dream,2001,91,"Comedy,Romance"
tt0164961,movie,Vidocq,2001,98,"Action,Crime,Fantasy"
tt0165361,movie,Highway,2002,97,"Crime,Drama"
tt0165452,movie,The Rules (For Men),2001,96,Comedy
tt0165713,movie,The Distinct Smell of Red,2001,81,Drama
tt0165832,movie,Interstate 60: Episodes of the Road,2002,116,"Adventure,Comedy,Drama"
tt0165982,movie,Sinbad: Legend of the Seven Seas,2003,86,"Adventure,Animation,Comedy"
tt0166110,movie,Bones,2001,96,"Crime,Horror"
tt0166158,movie,Daddy and Them,2001,101,"Comedy,Drama"
tt0166186,movie,Still Life,2001,90,Drama
tt0166276,movie,Monkeybone,2001,93,"Comedy,Fantasy"
tt0166709,movie,Memórias Póstumas de Brás Cubas,2001,101,"Comedy,Drama"
tt0166813,movie,Spirit: Stallion of the Cimarron,2002,83,"Adventure,Animation,Drama"
tt0166871,movie,Viúva Rica Solteira Não Fica,2006,135,"Comedy,Drama"
tt0166924,movie,Mulholland Dr.,2001,147,"Drama,Mystery,Thriller"
tt0167116,movie,Desert Saints,2002,88,"Action,Romance,Thriller"
tt0167190,movie,Hellboy,2004,122,"Action,Adventure,Fantasy"
tt0167260,movie,The Lord of the Rings: The Return of the King,2003,201,"Adventure,Drama,Fantasy"
tt0167261,movie,The Lord of the Rings: The Two Towers,2002,179,"Adventure,Drama,Fantasy"
tt0167347,movie,Pride of Place,2006,59,Documentary
tt0167360,movie,Race to Space,2001,104,"Drama,Family"
tt0167456,movie,Thunderbirds,2004,95,"Action,Adventure,Comedy"
tt0168786,movie,Antwone Fisher,2002,120,"Biography,Drama"
tt0169102,movie,Lagaan: Once Upon a Time in India,2001,224,"Drama,Musical,Sport"
tt0169579,movie,Baggage,2003,90,Drama
tt0170008,movie,Hollywood Palms,2001,86,Comedy
tt0170367,movie,Peroxide Passion,2001,84,Comedy
tt0170508,movie,Il resto di niente,2004,103,"Drama,History"
tt0170517,movie,Aleksis Kiven elämä,2001,104,"Biography,Drama"
tt0171339,movie,Generation Ax,2001,78,Horror
tt0171928,movie,O Xangô de Baker Street,2001,124,"Comedy,Crime"
tt0172156,movie,Bad Boys II,2003,147,"Action,Comedy,Crime"
tt0172182,movie,Blood Type,2018,90,"Comedy,Drama,Mystery"
tt0172543,movie,He Died with a Felafel in His Hand,2001,107,"Comedy,Romance"
tt0172995,movie,Play Dead,2001,79,Comedy
tt0173498,movie,Zigs,2001,93,"Comedy,Drama"
tt0173840,movie,Final Fantasy: The Spirits Within,2001,106,"Action,Adventure,Animation"
tt0174732,movie,Herman U.S.A.,2001,89,"Comedy,Romance"
tt0175203,movie,La balsa de piedra,2002,103,"Drama,Fantasy"
tt0175557,movie,O Delfim,2002,88,Drama
tt0176001,movie,Panic Bodies,2003,70,Documentary
tt0176185,movie,The Story of O: Untold Pleasures,2002,98,Drama
tt0176694,movie,Az ember tragédiája,2011,160,"Animation,Drama,History"
tt0177049,movie,Nos amis de la banque,2002,85,Documentary
tt0177636,movie,Geliebte Clara,2008,107,"Biography,Drama,Music"
tt0177882,movie,Kebab Connection,2004,96,"Action,Comedy,Romance"
tt0177885,movie,Killer Bud,2001,92,Comedy
tt0177997,movie,Women of the Night,2001,97,Thriller
tt0178642,movie,The Invisible Circus,2001,93,Drama
tt0178691,movie,Het land van mijn ouders,2010,97,Documentary
tt0179098,movie,Moonlight Mile,2002,117,"Drama,Romance"
tt0179344,movie,The Midnight Hour,2001,91,"Drama,Thriller"
tt0179435,movie,The Proposal,2001,91,"Drama,Thriller"
tt0179626,movie,15 Minutes,2001,120,"Action,Crime,Drama"
tt0179735,movie,The Confidence Man,2001,94,"Crime,Mystery"
tt0179803,movie,Angels with Angles,2005,87,Comedy
tt0180052,movie,The Adventures of Pluto Nash,2002,95,"Action,Comedy,Sci-Fi"
tt0180679,movie,Escanaba in da Moonlight,2001,91,"Comedy,Fantasy"
tt0180734,movie,Hard Ball,2001,106,"Comedy,Drama,Sport"
tt0180894,movie,Odmazda,2001,103,"Drama,War"
tt0181248,tvSeries,Paradise Falls,2001,30,Drama
tt0181317,movie,Bodywork,2001,92,Crime
tt0181430,movie,Crossing the Rubicon,2002,115,"Romance,Sci-Fi"
tt0181689,movie,Minority Report,2002,145,"Action,Crime,Mystery"
tt0181739,movie,Osmosis Jones,2001,95,"Action,Adventure,Animation"
tt0181852,movie,Terminator 3: Rise of the Machines,2003,109,"Action,Sci-Fi"
tt0181912,movie,Éloge de l'amour,2001,97,Drama
tt0182000,movie,The Caveman's Valentine,2001,105,"Crime,Drama,Music"
tt0182027,movie,The Cure for Boredom,2001,87,Comedy
tt0183649,movie,Phone Booth,2002,81,"Crime,Thriller"
tt0183790,movie,A Knight's Tale,2001,132,"Action,Adventure,Drama"
tt0184387,movie,Dead Man's Dream,2002,100,"Drama,Mystery"
tt0184719,movie,Maryam,2002,87,Drama
tt0184791,movie,O,2001,95,"Drama,Romance,Thriller"
tt0185367,movie,Hoshi ni negai o.,2003,106,"Drama,Fantasy,Romance"
tt0186202,movie,Cowboy Up,2001,105,"Drama,Romance,Western"
tt0186589,movie,Sugar & Spice,2001,81,"Comedy,Crime"
tt0186785,movie,Greener,2004,89,"Comedy,Drama"
tt0186895,movie,Les Boys III,2001,124,"Comedy,Drama,Sport"
tt0187279,movie,Meri Biwi Ka Jawab Nahin,2004,150,"Action,Comedy,Romance"
tt0187512,movie,"Slap Her, She's French!",2002,88,"Comedy,Romance"
tt0187622,tvSeries,Baddiel's Syndrome,2001,25,Comedy
tt0187738,movie,Blade II,2002,117,"Action,Horror,Sci-Fi"
tt0188128,movie,Very Annie Mary,2001,104,"Comedy,Musical"
tt0188360,tvSeries,Show of Hearts,2015,1320,Comedy
tt0188424,movie,Art City 2: Simplicty,2002,58,Documentary
tt0188453,movie,Birthday Girl,2001,93,"Comedy,Crime,Thriller"
tt0188575,movie,Dragon and the Hawk,2001,86,"Action,Adventure,Crime"
tt0189192,movie,Just Visiting,2001,88,"Adventure,Comedy,Fantasy"
tt0189541,movie,Gabriela,2001,93,"Drama,Romance"
tt0190331,movie,30 Days,2006,93,"Drama,Sport"
tt0190938,movie,$windle,2002,93,"Action,Crime,Drama"
tt0190975,movie,Aparelho Voador a Baixa Altitude,2002,80,"Drama,Sci-Fi,Thriller"
tt0191010,movie,Heartland of Darkness,2022,102,Horror
tt0191074,movie,New Best Friend,2002,91,"Drama,Mystery,Thriller"
tt0191133,movie,The Fighting Temptations,2003,123,"Comedy,Drama,Music"
tt0191161,movie,O Gotejar da Luz,2002,103,Drama
tt0191177,movie,Dischord,2001,102,"Drama,Music,Thriller"
tt0191211,movie,Jersey Guy,2003,90,"Comedy,Drama"
tt0191694,tvSeries,La grosse émission,2001,52,"Comedy,Talk-Show"
tt0192023,movie,Finder's Fee,2001,100,"Drama,Thriller"
tt0192071,movie,Get Over It,2001,87,"Comedy,Romance"
tt0192110,movie,Head Games,2001,90,Thriller
tt0192111,movie,Head Over Heels,2001,86,"Comedy,Mystery,Romance"
tt0192237,movie,Leo und Claire,2001,103,"Drama,Romance"
tt0192528,movie,Reverse Heaven,2018,104,Drama
tt0192708,movie,Two Guys Go Hunting,2001,49,Documentary
tt0192788,movie,Where the Red Fern Grows,2003,86,"Drama,Family"
tt0192789,movie,While Supplies Last,2002,120,"Comedy,Musical"
tt0192880,tvSeries,Breakfast,2002,180,"News,Talk-Show"
tt0192947,movie,12,2003,124,"Comedy,Music"
tt0193011,movie,Black Ball,2003,80,Drama
tt0193364,movie,The Order,2001,89,"Action,Adventure,Comedy"
tt0193365,movie,Orphan,2001,99,Drama
tt0193453,movie,"Red, White & Maple",2001,88,Documentary
tt0193537,movie,Summer Rain,2001,92,"Comedy,Romance"
tt0193545,movie,Looking for Leonard,2002,87,"Comedy,Crime,Drama"
tt0193560,movie,Texas Rangers,2001,90,"Action,Adventure,Drama"
tt0193598,movie,Unforeseen,2002,80,Thriller
tt0194357,movie,"Sever, yug, vostok, zapad",2010,90,Drama
tt0194704,movie,Birds of Passage,2001,115,"Action,Adventure,Crime"
tt0195108,movie,Lies... In Love,2001,97,Comedy
tt0195119,movie,Osmose,2003,75,"Comedy,Drama,Romance"
tt0195393,movie,Vital Parts,2001,87,"Action,Crime,Thriller"
tt0195551,movie,Berlin Nights,2005,45,Drama
tt0195587,tvSeries,Il giovane Casanova,2002,180,"Comedy,Drama"
tt0196068,movie,Sam the Man,2001,87,"Comedy,Drama,Romance"
tt0196069,movie,Samsara,2001,138,"Adventure,Drama,Romance"
tt0196158,movie,Ticker,2001,92,"Action,Crime,Thriller"
tt0196186,movie,I Viceré,2007,120,"Drama,History"
tt0196229,movie,Zoolander,2001,90,Comedy
tt0196811,movie,Olga,2004,141,"Biography,Drama,History"
tt0197219,movie,Una milanese a Roma,2001,87,Comedy
tt0197448,movie,A Falha,2002,89,Drama
tt0197633,movie,Live Freaky Die Freaky,2006,75,"Animation,Comedy,Musical"
tt0197862,movie,See Jane Run,2001,90,"Comedy,Crime,Drama"
tt0197929,movie,The Surprise Party,2001,89,"Comedy,Romance"
tt0197996,movie,Vampires Anonymous,2003,88,Comedy
tt0198013,movie,29 and Holding,2004,89,Comedy
tt0198748,movie,Mergers & Acquisitions,2001,90,Comedy
tt0198781,movie,"Monsters, Inc.",2001,92,"Adventure,Animation,Comedy"
tt0199007,movie,Secret Pleasures,2002,90,"Drama,Romance"
tt0199205,tvSeries,Connect with English,2007,30,Drama
tt0199481,movie,Vercingétorix,2001,120,"Adventure,Biography,Drama"
tt0199602,movie,Holy Hollywood,2004,82,Comedy
tt0199626,movie,In the Cut,2003,119,"Mystery,Thriller"
tt0199733,movie,Ken tulta pyytää,2001,95,Comedy
tt0199898,movie,Lo Foo Ji,2001,104,"Animation,Comedy,Fantasy"
tt0200027,movie,Riding in Cars with Boys,2001,132,"Biography,Comedy,Drama"
tt0200191,movie,Så vit som en snö,2001,154,"Biography,Drama,Romance"
tt0200422,movie,All Forgotten,2001,106,"Drama,Romance,War"
tt0200465,movie,The Bank Job,2008,111,"Crime,Thriller"
tt0200525,movie,The Chameleon,2001,90,Thriller
tt0200954,movie,Totally Blonde,2001,94,Comedy
tt0201020,movie,The Rising Place,2001,93,Drama
tt0201394,movie,The Shrink Is In,2001,92,"Comedy,Romance"
tt0201479,movie,Beyond the City Limits,2001,91,"Crime,Drama,Thriller"
tt0201485,movie,The Body,2001,109,"Drama,Mystery,Romance"
tt0201694,movie,Longshot,2001,93,"Action,Comedy,Crime"
tt0201844,movie,Survival Island,2002,85,"Horror,Thriller"
tt0201934,movie,Sister Blue,2003,88,"Drama,Thriller"
tt0202294,movie,Childhood,2001,85,Drama
tt0202360,movie,Frost,2004,99,"Horror,Thriller"
tt0202457,movie,Tornare indietro,2002,102,Drama
tt0202458,movie,Love.com,2002,85,Thriller
tt0202470,movie,Rock Star,2001,105,"Drama,Music"
tt0202623,movie,The Third Wheel,2002,91,"Comedy,Romance"
tt0202695,movie,Numb,2003,77,Sci-Fi
tt0203009,movie,Moulin Rouge!,2001,127,"Drama,Musical,Romance"
tt0203078,movie,Rocky Road,2001,90,"Drama,Romance"
tt0203206,movie,The Wise Ones,2001,79,Comedy
tt0203289,movie,American Desi,2001,100,"Comedy,Drama,Romance"
tt0203536,movie,A Good Night to Die,2003,100,"Action,Comedy,Thriller"
tt0203584,movie,Incantesimo napoletano,2002,82,Comedy
tt0203755,movie,One Night at McCool's,2001,93,"Comedy,Crime"
tt0203912,movie,Sin's Kitchen,2004,91,Drama
tt0203952,movie,Straight Out of Compton,2003,80,Crime
tt0203975,movie,Tart,2001,94,"Crime,Drama,Romance"
tt0204250,movie,Death of a Saleswoman,2006,77,"Comedy,Mystery"
tt0204313,movie,Exorcist: The Beginning,2004,114,"Horror,Mystery,Thriller"
tt0204322,movie,Firecracker,2005,112,"Crime,Drama,Mystery"
tt0204352,movie,Greasewood Flat,2003,121,"Comedy,Drama"
tt0204619,movie,Secret Needs,2001,90,"Drama,Romance"
tt0204700,movie,Trouble Every Day,2001,101,"Drama,Horror,Thriller"
tt0205380,movie,Sanam Teri Kasam,2009,170,"Action,Drama,Romance"
tt0205498,movie,Venus and Mars,2001,94,"Comedy,Romance"
tt0205738,movie,AmnesiA,2001,90,"Comedy,Drama,Mystery"
tt0206098,movie,Alma Mater,2002,80,Drama
tt0206113,movie,Madison,2001,99,"Drama,Sport"
tt0206184,movie,On Edge,2001,93,"Comedy,Romance,Sport"
tt0206211,movie,A Pocket Full of Dreams,2001,100,Drama
tt0206275,movie,Save the Last Dance,2001,112,"Drama,Music,Romance"
tt0206314,movie,Joy Ride,2001,97,"Drama,Mystery,Thriller"
tt0206367,movie,The Trumpet of the Swan,2001,75,"Animation,Drama,Family"
tt0206634,movie,Children of Men,2006,109,"Drama,Sci-Fi,Thriller"
tt0206762,movie,Friends and Family,2001,87,"Comedy,Crime"
tt0206778,movie,2 Birds with 1 Stallone,2002,76,Drama
tt0206806,movie,Hermano,2007,94,Drama
tt0206866,movie,König der Diebe,2003,101,Drama
tt0206893,movie,Jazz Seen: The Life and Times of William Claxton,2001,81,Documentary
tt0206963,movie,My First Mister,2001,109,"Comedy,Drama,Romance"
tt0207002,movie,Paradise Grove,2003,93,"Comedy,Drama"
tt0207051,movie,Die Reise nach Kafiristan,2001,101,Drama
tt0207198,movie,"Was tun, wenn's brennt?",2001,101,"Action,Comedy,Drama"
tt0207585,movie,Lloyd,2001,74,"Comedy,Drama,Family"
tt0207635,movie,Ocean Park,2002,100,Thriller
tt0207826,movie,The Water Game,2002,106,"Action,Comedy,Drama"
tt0207888,tvSeries,High Hopes,2002,30,"Comedy,Crime"
tt0207988,movie,The Sleepy Time Gal,2001,108,Drama
tt0208167,movie,4 Faces,2001,102,Drama
tt0208412,movie,Rose's,2003,95,"Comedy,Drama"
tt0208491,movie,Ginostra,2002,139,"Crime,Drama"
tt0208682,movie,Amarsi può darsi,2001,95,Drama
tt0208899,movie,Diary of a City Priest,2001,77,Drama
tt0208990,movie,La stanza del figlio,2001,99,Drama
tt0209005,movie,Grenzgänger,2001,98,Documentary
tt0209020,movie,Dying on the Edge,2001,85,Drama
tt0209077,movie,Ken Park,2002,93,Drama
tt0209109,movie,Londinium,2001,87,Comedy
tt0209163,movie,The Mummy Returns,2001,130,"Action,Adventure,Fantasy"
tt0209253,movie,The Private Public,2001,90,"Comedy,Drama"
tt0209464,movie,Villa des roses,2002,118,"Drama,Romance,War"
tt0209475,movie,The Wedding Planner,2001,103,"Comedy,Romance"
tt0209486,movie,Wish You Were Dead,2001,100,"Comedy,Crime,Thriller"
tt0209512,tvSeries,Im Visier der Zielfahnder,2002,55,Crime
tt0209941,movie,El bien esquivo,2001,130,Drama
tt0210094,movie,Happy Campers,2001,94,Comedy
tt0210223,movie,Legend of the Phantom Rider,2002,100,"Action,Fantasy,Horror"
tt0210262,movie,Rouch in Reverse,2013,52,Documentary
tt0210362,movie,Tomorrow by Midnight,2001,89,"Comedy,Drama,Thriller"
tt0210470,movie,50 Feet of String,2011,53,"Fantasy,Mystery"
tt0210618,movie,Com Quase Nada,2001,60,"Documentary,Family,Music"
tt0210694,movie,From Russia to Hollywood: The 100-Year Odyssey of Chekhov and Shdanoff,2002,105,Documentary
tt0210777,movie,The Journey,2001,93,"Adventure,Documentary"
tt0210816,movie,Looking for Jimmy,2002,90,Drama
tt0210930,movie,Quem És Tu?,2001,112,"Drama,History"
tt0210953,movie,Road Dogz,2002,91,"Crime,Drama"
tt0210971,movie,A Selva,2002,105,"Drama,Romance"
tt0211266,movie,Black Star: Autobiography of a Close Friend,2022,85,Documentary
tt0211279,movie,Runners,2001,90,Drama
tt0211311,movie,Ciudad del sol,2003,110,Drama
tt0211318,movie,Il conte di Melissa,2001,122,"Drama,History"
tt0211423,movie,House of the Generals,2003,111,Drama
tt0211443,movie,Jason X,2001,92,"Action,Horror,Sci-Fi"
tt0211465,movie,Knockaround Guys,2001,92,"Crime,Drama,Thriller"
tt0211538,tvSeries,Nanà,2001,180,Drama
tt0211915,movie,Le fabuleux destin d'Amélie Poulain,2001,122,"Comedy,Romance"
tt0211933,movie,Awake,2007,84,"Crime,Drama,Mystery"
tt0211946,movie,Berlin Calling,2008,109,"Comedy,Drama,Music"
tt0212048,movie,Cause of Death,2001,95,"Crime,Mystery,Romance"
tt0212132,movie,The Tracker,2002,90,"Drama,Western"
tt0212142,movie,American Storytellers,2003,90,Documentary
tt0212271,movie,Lip Service,2001,95,"Comedy,Drama"
tt0212292,movie,Kwik Stop,2001,110,Comedy
tt0212294,movie,Lady in the Box,2001,105,Mystery
tt0212298,movie,Last Ball,2001,96,"Comedy,Drama"
tt0212360,movie,Moving August,2002,96,Comedy
tt0212380,movie,Blow Dry,2001,90,"Comedy,Drama,Romance"
tt0212712,movie,2046,2004,129,"Drama,Romance,Sci-Fi"
tt0212720,movie,A.I. Artificial Intelligence,2001,146,"Adventure,Drama,Sci-Fi"
tt0212725,movie,L'accertamento,2001,90,"Drama,Mystery,Thriller"
tt0212797,movie,I banchieri di Dio,2002,125,"Biography,Crime,Drama"
tt0212827,movie,Bride of the Wind,2001,99,"Biography,Drama,Music"
tt0212867,movie,Soulkeeper,2001,105,"Action,Adventure,Comedy"
tt0212910,movie,Delivering Milo,2001,94,"Comedy,Drama,Fantasy"
tt0212985,movie,Hannibal,2001,131,"Crime,Drama,Thriller"
tt0213053,movie,Lava,2001,96,"Comedy,Crime,Thriller"
tt0213113,movie,The Resurrection Game,2001,91,"Comedy,Horror,Mystery"
